,INDEX,会社名,職種,必要言語,実務経験,掲載日,資本金,売上,自社サービス開発,未経験可,URL
141,142,株式会社リッチメディア,web系SE・PG（自社製品）,"Ruby,PHP,Python",,2019/5/15,1億円,"14億3,200万円",〇,×,https://www.geekly.co.jp/search/detail/3013
142,143,弁護士ドットコム株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,JavaScript",,2019/9/3,"4億3,600万円","313億2,000万円",〇,×,https://www.geekly.co.jp/search/detail/337862
143,144,株式会社テラスカイ,web系SE・PG（自社製品）,"Java,JavaScript",,2019/7/3,"4億5,682万円","35億3,400万円",〇,〇,https://www.geekly.co.jp/search/detail/310470
144,145,リレーションズ株式会社,web系SE・PG（自社製品）,"Java,JavaScript",✓,2019/6/4,"1,500万円","9億2,000万円",〇,×,https://www.geekly.co.jp/search/detail/445126
145,146,リレーションズ株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/6/4,"1,500万円","9億2,000万円",〇,×,https://www.geekly.co.jp/search/detail/445127
146,147,トランスコスモス株式会社,オープン系SE・PG（自社製品）,Python,✓,2019/9/3,"290億6,596万円","2,846億9,600万円",〇,×,https://www.geekly.co.jp/search/detail/476105
147,148,株式会社リクルートテクノロジーズ,オープン系SE・PG（自社製品）,該当なし,,2019/9/2,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/484553
148,149,ブライシス株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/2,"1,000万円","8億5,800万円",〇,×,https://www.geekly.co.jp/search/detail/488393
149,150,株式会社アイモバイル,web系SE・PG（自社製品）,該当なし,✓,2019/8/30,"1億1,700万円","179億8,100万円",〇,×,https://www.geekly.co.jp/search/detail/484556
150,151,Hamee株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/7/8,"5億3,580万円",103億200万円,〇,×,https://www.geekly.co.jp/search/detail/502988
151,152,株式会社SyncThought,web系SE・PG（自社製品）,Java,,2019/7/16,"9,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/2765
152,153,株式会社運動通信社,web系SE・PG（自社製品）,PHP,,2019/5/9,"4,015万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/359630
153,154,CROOZ SHOPLIST株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,Go",,2019/8/22,"4億4,959万円",285億円,〇,×,https://www.geekly.co.jp/search/detail/391376
154,155,株式会社エイチーム,web系SE・PG（自社製品）,該当なし,,2019/9/1,"5億3,000万円","376億7,400万円",〇,×,https://www.geekly.co.jp/search/detail/532689
155,156,株式会社ALBERT,web系SE・PG（自社製品）,Python,,2019/5/31,13億26万円,"16億3,000万円",〇,×,https://www.geekly.co.jp/search/detail/481233
156,157,CROOZ SHOPLIST株式会社,プロジェクトマネージャー（web系）,該当なし,,2019/9/3,"4億4,959万円",285億円,〇,×,https://www.geekly.co.jp/search/detail/391377
157,158,株式会社いい生活,プロジェクトマネージャー（web系）,該当なし,,2019/5/8,"6億2,841万円","19億3,453万円",〇,×,https://www.geekly.co.jp/search/detail/402387
